timestamp,leftDistance,rightDistance,collisionFrames,collisionEvents,currentFPS
0.124,0.1149,0.1136,0,0,20.84
0.194,0.1149,0.1136,0,0,71.70
0.290,0.1149,0.1136,0,0,72.32
0.388,0.1149,0.1136,0,0,71.56
0.485,0.1149,0.1136,0,0,72.49
0.582,0.1149,0.1136,0,0,72.04
0.693,0.1149,0.1136,0,0,72.02
0.791,0.1149,0.1136,0,0,71.84
0.903,0.1149,0.1136,0,0,35.61
0.989,0.1149,0.1136,0,0,69.71
1.087,0.1149,0.1136,0,0,71.27
1.185,0.1149,0.1136,0,0,71.44
1.282,0.1149,0.1136,0,0,71.95
1.394,0.1149,0.1136,0,0,71.96
1.491,0.1149,0.1136,0,0,72.05
1.588,0.1149,0.1136,0,0,71.77
1.685,0.1149,0.1136,0,0,72.15
1.783,0.1149,0.1136,0,0,71.94
1.894,0.1149,0.1136,0,0,71.97
1.991,0.1149,0.1136,0,0,71.92
2.088,0.1149,0.1136,0,0,72.13
2.186,0.1149,0.1136,0,0,71.74
2.283,0.1149,0.1136,0,0,71.98
2.381,0.1149,0.1136,0,0,71.71
2.491,0.1149,0.1136,0,0,72.24
2.589,0.1149,0.1136,0,0,71.66
2.686,0.1149,0.1136,0,0,72.15
2.783,0.1149,0.1136,0,0,71.93
2.881,0.1149,0.1136,0,0,71.92
2.992,0.1149,0.1136,0,0,71.81
3.089,0.1149,0.1136,0,0,72.20
3.187,0.1149,0.1136,0,0,71.70
3.284,0.1149,0.1136,0,0,72.25
3.381,0.1149,0.1136,0,0,71.92
3.493,0.1149,0.1136,0,0,71.61
3.590,0.1149,0.1136,0,0,72.12
3.687,0.1149,0.1136,0,0,71.70
3.784,0.1149,0.1136,0,0,72.25
3.881,0.1149,0.1136,0,0,72.10
3.993,0.1149,0.1136,0,0,71.87
4.090,0.1149,0.1136,0,0,72.08
4.187,0.1149,0.1136,0,0,71.71
4.284,0.1149,0.1136,0,0,72.24
4.382,0.1149,0.1136,0,0,71.72
4.493,0.1149,0.1136,0,0,72.17
4.590,0.1149,0.1136,0,0,71.92
4.687,0.1149,0.1136,0,0,71.88
4.785,0.1149,0.1136,0,0,71.90
4.882,0.1149,0.1136,0,0,72.06
4.993,0.1149,0.1136,0,0,71.97
5.091,0.1149,0.1136,0,0,71.82
5.188,0.1149,0.1136,0,0,71.89
5.285,0.1149,0.1136,0,0,71.91
5.383,0.1149,0.1136,0,0,71.82
5.494,0.1149,0.1136,0,0,72.20
5.591,0.1149,0.1136,0,0,71.97
5.688,0.1149,0.1136,0,0,72.11
5.785,0.1149,0.1136,0,0,71.84
5.882,0.1149,0.1136,0,0,72.09
5.994,0.1149,0.1136,0,0,71.92
6.091,0.1149,0.1136,0,0,72.14
6.188,0.1149,0.1136,0,0,71.62
6.285,0.1149,0.1136,0,0,72.27
6.383,0.1149,0.1136,0,0,71.89
6.494,0.1149,0.1136,0,0,72.06
6.591,0.1149,0.1136,0,0,71.83
6.688,0.1149,0.1136,0,0,72.10
6.786,0.1149,0.1136,0,0,71.79
6.883,0.1149,0.1136,0,0,72.26
6.980,0.1149,0.1136,0,0,71.79
7.091,0.1149,0.1136,0,0,72.08
7.189,0.1149,0.1136,0,0,71.78
7.285,0.1149,0.1136,0,0,72.24
7.383,0.1149,0.1136,0,0,71.65
7.480,0.1149,0.1136,0,0,72.10
7.592,0.1149,0.1136,0,0,71.85
7.689,0.1149,0.1136,0,0,72.20
7.786,0.1149,0.1136,0,0,71.80
7.883,0.1149,0.1136,0,0,72.29
7.980,0.1149,0.1136,0,0,71.74
8.092,0.1149,0.1136,0,0,72.05
8.189,0.1149,0.1136,0,0,71.96
8.286,0.1149,0.1136,0,0,72.01
8.383,0.1149,0.1136,0,0,71.81
8.481,0.1149,0.1136,0,0,72.13
8.592,0.1149,0.1136,0,0,71.88
8.689,0.1149,0.1136,0,0,71.86
8.786,0.1149,0.1136,0,0,72.15
8.883,0.1149,0.1136,0,0,72.20
