timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768233883.957407,0.011283,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233883.957407,927,0,0.009253,1768233883.958416,,,7.411547,7.411447,1768233883.947630,,,0.000000,0.000000,1768233883.946124
1768233883.988577,0.042453,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233883.988577,953,0,0.000000,1768233883.987568,,,7.411547,7.411447,1768233883.947630,,,0.000000,0.000000,1768233883.946124
1768233884.018664,0.072539,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.018664,1023,0,0.000000,1768233884.016142,,,7.411547,7.411447,1768233883.947630,,,0.000000,0.000000,1768233883.946124
1768233884.049268,0.103144,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.049268,1023,0,0.000000,1768233884.049268,,,7.411547,7.411447,1768233883.947630,,,0.000000,0.000000,1768233883.946124
1768233884.080362,0.134238,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.080362,1023,0,0.000000,1768233884.077350,,,7.506328,7.445691,1768233884.050269,,,0.918909,0.331982,1768233884.049268
1768233884.110873,0.164748,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.110873,1023,0,0.000000,1768233884.109876,,,7.506328,7.445691,1768233884.050269,,,0.918909,0.331982,1768233884.049268
1768233884.153479,0.207355,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.153479,1015,0,0.000000,1768233884.151480,,,7.433941,7.437650,1768233884.151480,,,0.918909,0.331982,1768233884.049268
1768233884.191100,0.244976,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.191100,918,0,0.108704,1768233884.187569,,,7.433941,7.437650,1768233884.151480,,,0.918909,0.331982,1768233884.049268
1768233884.220077,0.273952,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.220077,933,0,0.000000,1768233884.217372,,,7.433941,7.437650,1768233884.151480,,,0.918909,0.331982,1768233884.049268
1768233884.252047,0.305923,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.252047,919,0,0.097606,1768233884.249033,,,7.433941,7.437650,1768233884.151480,,,0.918909,0.331982,1768233884.049268
1768233884.282269,0.336144,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.282269,912,0,0.175547,1768233884.282269,,,7.174426,7.454548,1768233884.272210,,,0.918909,0.331982,1768233884.049268
1768233884.314039,0.367914,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.314039,907,0,0.231587,1768233884.314039,,,7.174426,7.454548,1768233884.272210,,,-2.395987,0.239243,1768233884.257555
1768233884.344874,0.398750,14.572169,-15.022521,0.000000,0.000000,0.000000,0.229343,1768233884.344874,902,0,0.287937,1768233884.344874,,,7.174426,7.454548,1768233884.272210,,,-2.395987,0.239243,1768233884.257555
