timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768730908.397499,0.034571,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.397499,851,0,0.881230,1768730908.393988,,,6.989003,7.486449,1768730908.387477,,,,,
1768730908.428560,0.065633,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.428560,850,0,0.893216,1768730908.427560,,,6.989003,7.486449,1768730908.387477,,,0.000000,0.000000,1768730908.363928
1768730908.459569,0.096642,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.459569,815,0,1.321840,1768730908.459569,,,6.989003,7.486449,1768730908.387477,,,0.000000,0.000000,1768730908.363928
1768730908.491281,0.128354,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.491281,778,0,1.795452,1768730908.489193,,,7.076377,8.226820,1768730908.481184,,,0.867869,7.353942,1768730908.464605
1768730908.621312,0.258385,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.621312,774,0,1.847997,1768730908.621312,,,6.480973,8.571071,1768730908.587834,,,-5.898338,4.143868,1768730908.565558
1768730908.661086,0.298159,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.661086,754,0,2.114861,1768730908.661086,,,6.480973,8.571071,1768730908.587834,,,-5.898338,4.143868,1768730908.565558
1768730908.693874,0.330947,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.693874,731,0,2.430648,1768730908.693874,,,5.998957,8.641438,1768730908.678809,,,-3.897652,0.700633,1768730908.667122
1768730908.735610,0.372683,14.340245,-14.344933,0.000000,0.000000,0.000000,0.106492,1768730908.735610,741,0,2.292146,1768730908.735610,,,5.998957,8.641438,1768730908.678809,,,-3.897652,0.700633,1768730908.667122
1768730908.763359,0.400432,14.338384,-14.272832,-0.067087,2.598354,2.599220,0.135727,1768730908.763359,739,0,2.319696,1768730908.763359,,,5.998957,8.641438,1768730908.678809,,,-3.897652,0.700633,1768730908.667122
1768730908.887122,0.524195,14.338384,-14.272832,-0.046961,1.818848,1.819454,0.135727,1768730908.887122,716,0,2.641996,1768730908.885661,,,6.038314,8.937229,1768730908.784183,,,-0.233629,3.221817,1768730908.768884
1768730908.919166,0.556238,14.338384,-14.272832,-0.032873,1.273193,1.273618,0.135727,1768730908.919166,706,0,2.785368,1768730908.919166,,,6.038020,9.297031,1768730908.893148,,,-0.229855,6.212528,1768730908.868363
1768730908.949117,0.586190,14.338384,-14.272832,-0.023011,0.891235,0.891532,0.135727,1768730908.949117,716,0,2.641996,1768730908.948118,,,6.038020,9.297031,1768730908.893148,,,-0.229855,6.212528,1768730908.868363
1768730909.014099,0.651172,14.338384,-14.272832,-0.016108,0.623865,0.624073,0.135727,1768730909.014099,745,0,2.237267,1768730909.014099,,,5.979086,9.629370,1768730908.985534,,,-0.581772,7.392876,1768730908.970881
