timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361619.426704,3.923930,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.426704,,,,,,-3.176450,-3.176422,-3.176452,-3.176295,1769361619.382335,0.000000,-0.000000,0.000000,0.000000,1769361619.382335
1769361619.467501,3.964728,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.467501,,,,,,-3.176452,-3.176422,-3.176450,-3.176295,1769361619.465460,0.000000,-0.000000,0.000000,0.000000,1769361619.465460
1769361619.497191,3.994418,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.497191,,,,,,-3.176452,-3.176422,-3.176450,-3.176295,1769361619.465460,0.000000,-0.000000,0.000000,0.000000,1769361619.465460
1769361619.532240,4.029467,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.532240,,,,,,-3.176452,-3.176422,-3.176450,-3.176295,1769361619.465460,0.000000,-0.000000,0.000000,0.000000,1769361619.465460
1769361619.574829,4.072056,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.574829,,,,,,-3.176452,-3.176422,-3.176450,-3.176295,1769361619.465460,0.000000,-0.000000,0.000000,0.000000,1769361619.465460
1769361619.603554,4.100781,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.603554,,,,,,-3.176450,-3.176422,-3.176452,-3.176295,1769361619.594485,0.000000,-0.000000,0.000000,0.000000,1769361619.581362
1769361619.635981,4.133208,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.635981,,,,,,-3.176450,-3.176422,-3.176452,-3.176295,1769361619.594485,0.000000,-0.000000,0.000000,0.000000,1769361619.581362
1769361619.665142,4.162369,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.665142,,,,,,-3.176450,-3.176422,-3.176452,-3.176295,1769361619.594485,0.000000,-0.000000,0.000000,0.000000,1769361619.581362
1769361619.697878,4.195105,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.697878,,,,,,-3.176450,-3.176422,-3.176450,-3.176295,1769361619.680756,0.000000,-0.000000,0.000000,0.000000,1769361619.672173
1769361619.733852,4.231079,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.733852,,,,,,-3.176450,-3.176422,-3.176450,-3.176295,1769361619.680756,0.000000,-0.000000,0.000000,0.000000,1769361619.679685
1769361619.759061,4.256287,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.759061,,,,,,-3.176450,-3.176422,-3.176450,-3.176295,1769361619.680756,0.000000,-0.000000,0.000000,0.000000,1769361619.679685
1769361619.812485,4.309712,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.812485,,,,,,-3.176452,-3.176424,-3.176450,-3.176295,1769361619.811485,0.000000,-0.000000,0.000000,0.000000,1769361619.767091
1769361619.837311,4.334537,8.004175,-16.407562,0.000000,0.000000,0.000000,0.016158,1769361619.837311,,,,,,-3.176452,-3.176424,-3.176450,-3.176295,1769361619.811485,0.000000,-0.000000,0.000000,0.000000,1769361619.798385
