timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361737.666065,0.908036,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.666065,,,,,,-4.701595,-6.612576,,,1769361737.567642,-2.315000,-15.469502,,,1769361737.566641
1769361737.697623,0.939593,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.697623,,,,,,-5.157446,-7.558655,,,1769361737.686661,-2.819497,-14.310032,,,1769361737.669155
1769361737.724721,0.966692,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.724721,,,,,,-5.157446,-7.558655,,,1769361737.686661,-2.819497,-14.310032,,,1769361737.669155
1769361737.756198,0.998169,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.756198,,,,,,-5.157446,-7.558655,,,1769361737.686661,-2.819497,-14.310032,,,1769361737.669155
1769361737.806138,1.048109,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.806138,,,,,,-6.093410,-8.875515,,,1769361737.772251,-6.995074,-18.541443,,,1769361737.771245
1769361737.832587,1.074558,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.832587,,,,,,-6.093410,-8.875515,,,1769361737.772251,-6.995074,-18.541443,,,1769361737.771245
1769361737.868667,1.110637,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.868667,,,,,,-6.093410,-8.875515,,,1769361737.772251,-6.995074,-18.541443,,,1769361737.771245
1769361737.894478,1.136449,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.894478,,,,,,-7.411204,-10.240386,,,1769361737.886946,-8.468743,-18.606026,,,1769361737.872167
1769361737.926036,1.168006,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.926036,,,,,,-7.411204,-10.240386,,,1769361737.886946,-8.468743,-18.606026,,,1769361737.872167
1769361737.964171,1.206142,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.964171,,,,,,-7.411204,-10.240386,,,1769361737.886946,-8.468743,-18.606026,,,1769361737.872167
1769361737.993174,1.235145,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.993174,,,,,,-7.411204,-10.240386,,,1769361737.886946,-8.468743,-18.606026,,,1769361737.872167
1769361738.046480,1.288451,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361738.046480,,,,,,-8.659764,-11.462815,,,1769361737.996174,-7.179438,-17.084799,,,1769361737.973786
1769361738.082659,1.324630,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361738.082659,,,,,,-9.333138,-11.963298,,,1769361738.079149,-1.489058,-9.880866,,,1769361738.078149
1769361738.112149,1.354120,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361738.112149,,,,,,-9.333138,-11.963298,,,1769361738.079149,-1.489058,-9.880866,,,1769361738.078149
1769361738.144981,1.386952,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361738.144981,,,,,,-9.333138,-11.963298,,,1769361738.079149,-1.489058,-9.880866,,,1769361738.078149
1769361738.177166,1.419137,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361738.177166,,,,,,-9.333138,-11.963298,,,1769361738.079149,-1.489058,-9.880866,,,1769361738.078149
1769361738.208046,1.450016,12.217985,-9.791357,0.060562,-2.338758,2.339542,0.016158,1769361738.208046,,,,,,-9.474174,-12.547200,,,1769361738.179222,-0.344262,-11.013292,,,1769361738.179222
1769361738.236788,1.478758,12.185906,-9.936905,-0.292436,-3.156323,3.169841,0.016158,1769361738.236788,,,,,,-9.474174,-12.547200,,,1769361738.179222,-0.344262,-11.013292,,,1769361738.179222
1769361738.267389,1.509359,12.120811,-10.191905,-0.842879,-4.709343,4.784178,0.016158,1769361738.267389,,,,,,-9.474174,-12.547200,,,1769361738.179222,-0.344262,-11.013292,,,1769361738.179222
1769361738.297984,1.539955,12.090599,-10.409695,-0.886252,-5.432061,5.503883,0.016158,1769361738.297984,,,,,,-9.474174,-12.547200,,,1769361738.179222,-0.344262,-11.013292,,,1769361738.179222
1769361738.329054,1.571024,12.095275,-10.590257,-0.575227,-5.545894,5.575646,0.016158,1769361738.329054,,,,,,-9.497460,-13.199432,,,1769361738.304998,0.112802,-12.132118,,,1769361738.280448
1769361738.365765,1.607736,12.061321,-10.663604,-0.680121,-4.481502,4.532817,0.016158,1769361738.365765,,,,,,-9.497460,-13.199432,,,1769361738.304998,0.112802,-12.132118,,,1769361738.280448
1769361738.394399,1.636369,12.061321,-10.663604,-0.476085,-3.137052,3.172972,0.016158,1769361738.394399,,,,,,-9.379043,-13.686036,,,1769361738.382192,0.112802,-12.132118,,,1769361738.280448
1769361738.443867,1.685838,12.094339,-10.554144,-0.133023,-1.532124,1.537888,0.016158,1769361738.443867,,,,,,-9.379043,-13.686036,,,1769361738.382192,1.147546,-9.833095,,,1769361738.382192
1769361738.470608,1.712579,12.091534,-10.445807,-0.124594,0.142942,0.189620,0.016158,1769361738.470608,,,,,,-9.379043,-13.686036,,,1769361738.382192,1.147546,-9.833095,,,1769361738.382192
1769361738.501070,1.743041,12.124551,-10.336353,0.237948,1.177999,1.201791,0.016158,1769361738.501070,,,,,,-9.379043,-13.686036,,,1769361738.382192,1.147546,-9.833095,,,1769361738.382192
1769361738.529168,1.771139,12.122681,-10.264130,0.146597,1.595710,1.602429,0.016158,1769361738.529168,,,,,,-9.177512,-14.597531,,,1769361738.505088,1.495809,-14.463230,,,1769361738.481810
1769361738.560409,1.802379,12.156632,-10.190793,0.428657,1.821248,1.871014,0.016158,1769361738.560409,,,,,,-9.177512,-14.597531,,,1769361738.505088,1.495809,-14.463230,,,1769361738.481810
1769361738.608076,1.850047,12.154762,-10.118570,0.288290,1.729412,1.753276,0.016158,1769361738.608076,,,,,,-8.840531,-15.002632,,,1769361738.582515,2.554908,-9.553532,,,1769361738.581515
1769361738.637127,1.879098,12.188712,-10.045238,0.552397,1.967873,2.043934,0.016158,1769361738.637127,,,,,,-8.840531,-15.002632,,,1769361738.582515,2.554908,-9.553532,,,1769361738.581515
1769361738.668728,1.910699,12.186842,-9.973017,0.368924,2.063129,2.095855,0.016158,1769361738.668728,,,,,,-8.840531,-15.002632,,,1769361738.582515,2.554908,-9.553532,,,1769361738.581515
1769361738.698038,1.940009,12.186842,-9.973017,0.258247,1.444191,1.467098,0.016158,1769361738.698038,,,,,,-8.224948,-14.919614,,,1769361738.683274,2.554908,-9.553532,,,1769361738.581515
1769361738.727244,1.969215,12.184972,-9.900794,0.161563,1.752800,1.760230,0.016158,1769361738.727244,,,,,,-8.224948,-14.919614,,,1769361738.683274,4.253978,-4.437821,,,1769361738.683274
1769361738.764096,2.006067,12.184972,-9.900794,0.113094,1.226960,1.232161,0.016158,1769361738.764096,,,,,,-8.224948,-14.919614,,,1769361738.683274,4.253978,-4.437821,,,1769361738.683274
1769361738.789233,2.031204,12.218920,-9.827468,0.484314,1.733975,1.800341,0.016158,1769361738.789233,,,,,,-8.224948,-14.919614,,,1769361738.683274,4.253978,-4.437821,,,1769361738.683274
1769361738.846090,2.088061,12.218920,-9.827468,0.339020,1.213783,1.260239,0.016158,1769361738.846090,,,,,,-6.869305,-14.826596,,,1769361738.810486,9.723271,-2.793570,,,1769361738.786181
1769361738.879155,2.121126,12.217051,-9.755247,0.220355,1.504904,1.520951,0.016158,1769361738.879155,,,,,,-6.869305,-14.826596,,,1769361738.810486,9.723271,-2.793570,,,1769361738.786181
1769361738.913066,2.155037,12.217051,-9.755247,0.154248,1.053432,1.064665,0.016158,1769361738.913066,,,,,,-4.952310,-14.919769,,,1769361738.889175,14.552012,-3.022191,,,1769361738.889175
1769361738.940604,2.182575,12.215180,-9.683025,0.087600,1.524194,1.526710,0.016158,1769361738.940604,,,,,,-4.952310,-14.919769,,,1769361738.889175,14.552012,-3.022191,,,1769361738.889175
1769361738.974093,2.216064,12.215180,-9.683025,0.061320,1.066936,1.068697,0.016158,1769361738.974093,,,,,,-4.952310,-14.919769,,,1769361738.889175,14.552012,-3.022191,,,1769361738.889175
