timestamp,dx,dy
1764179869.5188162,0.0,0.0
1764179869.548829,3.906445323664818e-08,3.906445323664818e-08
1764179869.5848205,0.0,0.0
1764179869.6105423,0.0,0.0
1764179869.64264,-3.906445323664818e-08,0.0
1764179869.6745057,3.906445323664818e-08,0.0
1764179869.706933,0.0,0.0
1764179869.7400537,-3.906445323664818e-08,0.0
1764179869.7692988,0.0,0.0
1764179869.800182,0.0,0.0
1764179869.8314874,0.0,0.0
1764179869.8623312,1.9532226627206078e-08,0.0
1764179869.8950515,0.0,0.0
1764179869.9272356,0.0,0.0
1764179869.9575713,0.0,0.0
1764179869.9886723,1.9532226609442103e-08,1.9532226609442103e-08
1764179870.0194862,0.0,0.0
1764179870.050168,-3.906445323664818e-08,0.0
1764179870.082919,-3.906445320112023e-08,0.0
1764179870.1122437,0.0,0.0
1764179870.14401,0.0,0.0
1764179870.1744318,5.859667982832631e-08,0.0
1764179870.2076008,0.0,0.0
1764179870.2379923,0.0,0.0
1764179870.2713206,-1.9532226627206078e-08,-1.9532226609442103e-08
1764179870.2992284,0.0,0.0
1764179870.331365,0.0,0.0
1764179870.362138,-1.9532226609442103e-08,3.9064453218884206e-08
1764179870.392594,9.766113306497449e-08,-7.812890645553239e-08
1764179870.4233367,0.0,0.0
1764179870.4561317,-3.9064453218884206e-08,1.9532226627206078e-08
1764179870.4865782,0.0,0.0
1764179870.5181239,0.0,0.0
1764179870.549191,0.0,0.0
1764179870.580698,3.9064453218884206e-08,0.0
1764179870.6111667,0.0,0.0
1764179870.6421642,0.0,0.0
1764179870.6730516,-7.812890645553239e-08,1.9532226609442103e-08
1764179870.7036977,0.0,0.0
1764179870.7343464,1.9532226627206078e-08,0.0
1764179870.766673,0.0,0.0
1764179870.7965755,0.0,0.0
1764179870.827612,0.0,0.0
1764179870.8585086,0.0,0.0
1764179870.8899574,-9.766113306497449e-08,-1.9532226609442103e-08
1764179870.92069,0.0,0.0
1764179870.952816,-3.6134619231020813e-07,0.0
1764179870.9827325,4.980717785940668e-07,3.9064453218884206e-08
1764179871.0125532,2.8321728585467574e-07,-3.222817390913231e-07
1764179871.0431945,0.0,0.0
1764179871.0742111,-7.812890644487426e-07,2.8321728587243887e-07
1764179871.1037335,2.7345117256771824e-07,2.8321728585467574e-07
1764179871.1350765,-2.7345117256771824e-07,-3.222817390913239e-07
1764179871.166593,0.0,0.0
1764179871.196763,3.6134619231020813e-07,9.766113306497449e-08
1764179871.227564,2.3438671933107006e-07,1.953222660944295e-08
1764179871.2592115,0.0,0.0
1764179871.2926018,-5.56668458422394e-07,1.9532226609442103e-08
1764179871.3217843,0.0,0.0
1764179871.3528235,8.9848242412316e-07,-7.812890643776926e-08
1764179871.3830836,-4.980717785940677e-07,-9.766113306497449e-08
1764179871.4157822,1.5625781289330165e-07,-1.171933596744166e-07
1764179871.444155,0.0,0.0
1764179871.4744134,0.0,0.0
1764179871.5059335,-4.5900732535741864e-07,7.812890645553239e-08
1764179871.53566,0.0,0.0
1764179871.5664635,-2.1485449272162796e-07,5.859667982832631e-08
1764179871.5964959,5.566684584223931e-07,1.171933596744166e-07
1764179871.6276371,0.0,0.0
1764179871.6592066,0.0,0.0
1764179871.690015,-1.9532226609442103e-08,-3.9064453218884206e-08
1764179871.7207398,1.9532226609442103e-08,-1.9532226609442103e-08
1764179871.751822,0.0,0.0
1764179871.7828684,0.0,0.0
1764179871.8141344,2.1485449272162796e-07,-7.812890645553239e-08
1764179871.8424273,0.0,0.0
1764179871.8732293,0.0,0.0
1764179871.9038658,-2.7345117256771824e-07,9.766113306497449e-08
1764179871.9358544,-2.2462060602634858e-07,9.766113304721136e-08
1764179871.965444,0.0,0.0
1764179871.996495,3.6134619231020813e-07,-1.1719335965665347e-07
1764179872.0275772,-1.1719335967441744e-07,0.0
1764179872.0588923,0.0,0.0
1764179872.0934854,1.9532226627206078e-08,1.9532226609442103e-08
1764179872.120732,0.0,0.0
1764179872.151997,0.0,0.0
1764179872.1831467,0.0,0.0
1764179872.2193866,1.9532226609442103e-08,0.0
1764179872.246773,0.0,0.0
1764179872.277975,0.0,0.0
1764179872.3093958,-1.9532226609442103e-08,-1.9532226609442103e-08
1764179872.3403666,1.9532226609442103e-08,1.9532226609442103e-08
1764179872.3694582,0.0,0.0
1764179872.3998432,0.0,0.0
1764179872.4314408,0.0,1.9532226609442103e-08
1764179872.4620965,0.0,0.0
1764179872.4937966,0.0,0.0
1764179872.5268602,-1.9532226609442103e-08,-1.9532226609442103e-08
1764179872.5552244,0.0,0.0
1764179872.586996,0.0,0.0
1764179872.6171381,1.9532226609442103e-08,1.9532226609442103e-08
1764179872.648943,0.0,-3.9064453218884206e-08
1764179872.6783996,0.0,0.0
1764179872.709339,-1.9532226609442103e-08,1.9532226609442103e-08
1764179872.7404997,-1.9532226627206078e-08,0.0
1764179872.7721481,0.0,0.0
1764179872.8028703,0.0,0.0
1764179872.8346288,3.906445323664818e-08,0.0
1764179872.8656926,0.0,0.0
1764179872.8961742,0.0,0.0
