timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1767557788.225622,0.024942,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.225622,740,0,2.305911,1767557788.222319,,,7.459730,7.561681,1767557788.202677,,,0.000000,0.000000,1767557788.201677
1767557788.270404,0.069724,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.270404,792,0,1.613650,1767557788.267386,,,7.459730,7.561681,1767557788.202677,,,0.000000,0.000000,1767557788.201677
1767557788.301934,0.101255,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.301934,803,0,1.473046,1767557788.299933,,,7.615923,7.636550,1767557788.285446,,,1.887071,0.904541,1767557788.284447
1767557788.334423,0.133744,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.334423,809,0,1.397163,1767557788.333421,,,7.615923,7.636550,1767557788.285446,,,1.887071,0.904541,1767557788.284447
1767557788.363500,0.162820,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.363500,818,0,1.284386,1767557788.361491,,,7.615923,7.636550,1767557788.285446,,,1.887071,0.904541,1767557788.284447
1767557788.400093,0.199413,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.400093,810,0,1.384570,1767557788.398094,,,7.792784,7.773718,1767557788.389050,,,2.407533,1.339898,1767557788.387044
1767557788.426810,0.226130,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.426810,816,0,1.309340,1767557788.426810,,,7.792784,7.773718,1767557788.389050,,,2.407533,1.339898,1767557788.387044
1767557788.463435,0.262756,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.463435,814,0,1.334355,1767557788.463435,,,7.792784,7.773718,1767557788.389050,,,2.407533,1.339898,1767557788.387044
1767557788.500400,0.299720,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.500400,804,0,1.460359,1767557788.500400,,,7.578711,8.010076,1767557788.489512,,,2.407533,1.339898,1767557788.387044
1767557788.531695,0.331015,15.003250,-15.115913,0.000000,0.000000,0.000000,0.623548,1767557788.531695,803,0,1.473046,1767557788.529695,,,7.578711,8.010076,1767557788.489512,,,-0.332103,2.946548,1767557788.488512
1767557788.564833,0.364153,14.930956,-15.082335,-2.181577,1.013288,2.405418,0.552303,1767557788.564833,824,0,1.209889,1767557788.561455,,,7.578711,8.010076,1767557788.489512,,,-0.332103,2.946548,1767557788.488512
1767557788.594545,0.393865,14.930956,-15.082335,-1.527104,0.709302,1.683792,0.552303,1767557788.594545,811,0,1.371993,1767557788.594545,,,7.651243,8.111701,1767557788.592430,,,-0.332103,2.946548,1767557788.488512
1767557788.627382,0.426702,14.930956,-15.082335,-1.068973,0.496511,1.178655,0.552303,1767557788.627382,796,0,1.562297,1767557788.627382,,,7.651243,8.111701,1767557788.592430,,,0.381597,3.205592,1767557788.591431
1767557788.671684,0.471004,14.857725,-15.012715,-1.244183,0.819004,1.489550,0.500397,1767557788.671684,803,0,1.473046,1767557788.671684,,,7.651243,8.111701,1767557788.592430,,,0.381597,3.205592,1767557788.591431
1767557788.704008,0.503328,14.857725,-15.012715,-0.870928,0.573303,1.042685,0.500397,1767557788.704008,791,0,1.626529,1767557788.701310,,,7.651243,8.111701,1767557788.592430,,,0.381597,3.205592,1767557788.591431
1767557788.734742,0.534062,14.820176,-14.941865,-0.976175,1.092899,1.465382,0.471212,1767557788.734742,781,0,1.756221,1767557788.734742,,,7.616862,8.063311,1767557788.709036,,,-0.028705,2.059828,1767557788.692292
1767557788.764493,0.563813,14.820176,-14.941865,-0.683322,0.765029,1.025767,0.471212,1767557788.764493,774,0,1.847997,1767557788.762987,,,7.616862,8.063311,1767557788.709036,,,-0.028705,2.059828,1767557788.692292
1767557788.798418,0.597738,14.781696,-14.834972,-0.818601,1.480767,1.691975,0.468582,1767557788.798418,795,0,1.575111,1767557788.795386,,,7.565918,8.083395,1767557788.793376,,,-0.028705,2.059828,1767557788.692292
1767557788.828534,0.627854,14.781696,-14.834972,-0.573021,1.036537,1.184382,0.468582,1767557788.828534,798,0,1.536717,1767557788.828534,,,7.565918,8.083395,1767557788.793376,,,-0.540944,1.620766,1767557788.791870
1767557788.863609,0.662929,14.778906,-14.726855,-0.424981,1.650314,1.704155,0.471763,1767557788.863609,799,0,1.523951,1767557788.861103,,,7.565918,8.083395,1767557788.793376,,,-0.540944,1.620766,1767557788.791870
1767557788.888444,0.687765,14.777046,-14.654777,-0.319951,2.025882,2.050991,0.477876,1767557788.888444,799,0,1.523951,1767557788.885927,,,7.565918,8.083395,1767557788.793376,,,-0.540944,1.620766,1767557788.791870
1767557788.929467,0.728788,14.775187,-14.582698,-0.237565,1.945226,1.959679,0.448992,1767557788.929467,788,0,1.665263,1767557788.926716,,,7.603299,8.042668,1767557788.910607,,,0.016382,0.593635,1767557788.892451
1767557788.967315,0.766635,14.773326,-14.510618,-0.181044,1.932997,1.941457,0.439447,1767557788.967315,790,0,1.639424,1767557788.967315,,,7.603299,8.042668,1767557788.910607,,,0.016382,0.593635,1767557788.892451
1767557789.011742,0.811062,14.771466,-14.438539,-0.139288,1.839833,1.845098,0.452173,1767557789.011742,780,0,1.769281,1767557789.008734,,,7.603299,8.042668,1767557788.910607,,,0.016382,0.593635,1767557788.892451
1767557789.048594,0.847914,14.769606,-14.366458,-0.112649,1.874666,1.878047,0.468081,1767557789.048594,795,0,1.575111,1767557789.046042,,,7.606877,8.082376,1767557789.018735,,,0.051165,0.717116,1767557788.993967
