timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1765807799.362613,1.155701,8.233120,-8.418082,0.527683,-0.229919,0.575597,1.208417,1765807799.362613,,,,,,0.100675,-0.071791,1765807799.322799,,,0.126377,-0.073626,1765807799.304480
1765807799.403615,1.196704,8.233120,-8.418082,0.369378,-0.160943,0.402918,1.208417,1765807799.403615,,,,,,0.100675,-0.071791,1765807799.322799,,,0.126377,-0.073626,1765807799.304480
1765807799.440519,1.233608,8.302856,-8.414396,0.825465,-0.082697,0.829597,1.221143,1765807799.440519,,,,,,0.136521,-0.074152,1765807799.431457,,,0.126377,-0.073626,1765807799.304480
1765807799.473073,1.266162,8.302856,-8.414396,0.577826,-0.057888,0.580718,1.221143,1765807799.473073,,,,,,0.136521,-0.074152,1765807799.431457,,,0.448755,-0.089510,1765807799.412409
1765807799.531558,1.324646,8.302856,-8.414396,0.404478,-0.040521,0.406503,1.221143,1765807799.531558,,,,,,0.129874,-0.074215,1765807799.525000,,,0.254781,-0.101181,1765807799.507921
1765807799.562881,1.355969,8.372586,-8.410710,0.950992,0.006938,0.951017,1.233869,1765807799.562881,,,,,,0.129874,-0.074215,1765807799.525000,,,0.254781,-0.101181,1765807799.507921
1765807799.658253,1.451341,8.372586,-8.410710,0.665694,0.004857,0.665712,1.233869,1765807799.658253,,,,,,0.107320,-0.120332,1765807799.631710,,,0.017431,-0.562514,1765807799.606989
1765807799.687307,1.480396,8.372586,-8.410710,0.465986,0.003400,0.465998,1.233869,1765807799.687307,,,,,,0.107320,-0.120332,1765807799.631710,,,0.017431,-0.562514,1765807799.606989
1765807799.718945,1.512033,8.372586,-8.410710,0.326190,0.002380,0.326199,1.233869,1765807799.718945,,,,,,0.107320,-0.120332,1765807799.631710,,,0.017431,-0.562514,1765807799.606989
1765807799.749975,1.543063,8.372586,-8.410710,0.228333,0.001666,0.228339,1.233869,1765807799.749975,,,,,,0.093170,-0.092026,1765807799.725441,,,-0.123041,-0.022759,1765807799.708361
1765807799.787060,1.580148,8.372586,-8.410710,0.159833,0.001166,0.159837,1.233869,1765807799.787060,,,,,,0.093170,-0.092026,1765807799.725441,,,-0.123041,-0.022759,1765807799.708361
1765807799.828140,1.621229,8.372586,-8.410710,0.111883,0.000816,0.111886,1.233869,1765807799.828140,,,,,,0.093170,-0.092026,1765807799.725441,,,-0.123041,-0.022759,1765807799.708361
1765807799.861647,1.654736,8.372586,-8.410710,0.078318,0.000571,0.078320,1.233869,1765807799.861647,,,,,,0.095709,-0.094243,1765807799.834647,,,-0.007745,-0.045222,1765807799.810111
1765807799.916118,1.709207,8.372586,-8.410710,0.054823,0.000400,0.054824,1.233869,1765807799.916118,,,,,,0.437322,-0.106468,1765807799.911605,,,3.357432,-0.165473,1765807799.911605
1765807799.955569,1.748658,8.372586,-8.410710,0.038376,0.000280,0.038377,1.233869,1765807799.955569,,,,,,0.437322,-0.106468,1765807799.911605,,,3.357432,-0.165473,1765807799.911605
1765807799.985124,1.778212,8.372586,-8.410710,0.026863,0.000196,0.026864,1.233869,1765807799.985124,,,,,,0.437322,-0.106468,1765807799.911605,,,3.357432,-0.165473,1765807799.911605
1765807800.018213,1.811301,8.372586,-8.410710,0.018804,0.000137,0.018805,1.233869,1765807800.018213,,,,,,0.437322,-0.106468,1765807799.911605,,,3.357432,-0.165473,1765807799.911605
