timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768732571.557724,0.013528,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.557724,687,0,3.063460,1768732571.555725,,,,,,,,,,
1768732571.587018,0.042821,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.587018,698,0,2.901536,1768732571.584471,,,7.449257,7.455020,1768732571.562739,,,0.000000,0.000000,1768732571.544197
1768732571.624635,0.080438,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.624635,687,0,3.063460,1768732571.624635,,,7.449257,7.455020,1768732571.562739,,,0.000000,0.000000,1768732571.544197
1768732571.650200,0.106004,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.650200,685,0,3.093179,1768732571.649200,,,7.684571,7.743692,1768732571.648198,,,0.000000,0.000000,1768732571.544197
1768732571.681300,0.137103,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.681300,684,0,3.108071,1768732571.678795,,,7.684571,7.743692,1768732571.648198,,,2.289190,2.802280,1768732571.647192
1768732571.713853,0.169656,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.713853,694,0,2.960120,1768732571.711629,,,7.684571,7.743692,1768732571.648198,,,2.289190,2.802280,1768732571.647192
1768732571.749928,0.205731,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.749928,690,0,3.019043,1768732571.748902,,,7.684571,7.743692,1768732571.648198,,,2.289190,2.802280,1768732571.647192
1768732571.788565,0.244369,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.788565,675,0,3.243088,1768732571.788565,,,7.497533,7.799109,1768732571.762976,,,-0.149583,2.527824,1768732571.748902
1768732571.820639,0.276443,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.820639,677,0,3.212929,1768732571.818638,,,7.497533,7.799109,1768732571.762976,,,-0.149583,2.527824,1768732571.748902
1768732571.850500,0.306303,14.732053,-14.295586,0.000000,0.000000,0.000000,0.458336,1768732571.850500,685,0,3.093179,1768732571.850500,,,7.497533,7.799109,1768732571.762976,,,-0.149583,2.527824,1768732571.748902
1768732571.881725,0.337528,14.659731,-14.261960,-2.316156,1.076882,2.554262,0.413444,1768732571.881725,682,0,3.137921,1768732571.879724,,,7.541962,7.856660,1768732571.871701,,,-0.149583,2.527824,1768732571.748902
1768732572.006880,0.462683,14.659731,-14.261960,-1.621309,0.753817,1.787983,0.413444,1768732572.006880,672,0,3.288494,1768732572.005870,,,7.551437,7.869736,1768732571.965721,,,0.193360,1.895626,1768732571.951150
1768732572.038453,0.494256,14.657870,-14.189874,-1.152595,1.212615,1.672995,0.448591,1768732572.038453,635,0,3.865793,1768732572.035448,,,7.551437,7.869736,1768732571.965721,,,0.193360,1.895626,1768732571.951150
