timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768234014.177900,0.011522,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.177900,866,0,0.703119,1768234014.176394,,,,,,,,,,
1768234014.208593,0.042215,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.208593,937,0,0.000000,1768234014.205574,,,7.307375,7.304075,1768234014.183941,,,0.000000,0.000000,1768234014.166378
1768234014.243875,0.077497,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.243875,957,0,0.000000,1768234014.242875,,,7.307375,7.304075,1768234014.183941,,,0.000000,0.000000,1768234014.166378
1768234014.272279,0.105901,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.272279,940,0,0.000000,1768234014.271274,,,7.307375,7.304075,1768234014.183941,,,0.000000,0.000000,1768234014.166378
1768234014.304081,0.137703,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.304081,956,0,0.000000,1768234014.304081,,,7.523400,7.419481,1768234014.295380,,,2.101305,1.122604,1768234014.269182
1768234014.334166,0.167788,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.334166,981,0,0.000000,1768234014.331650,,,7.523400,7.419481,1768234014.295380,,,2.101305,1.122604,1768234014.269182
1768234014.385551,0.219173,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.385551,925,0,0.031269,1768234014.385551,,,7.682679,7.458489,1768234014.371872,,,1.551095,0.379844,1768234014.371872
1768234014.412795,0.246416,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.412795,949,0,0.000000,1768234014.411797,,,7.682679,7.458489,1768234014.371872,,,1.551095,0.379844,1768234014.371872
1768234014.446032,0.279653,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.446032,878,0,0.562838,1768234014.446032,,,7.682679,7.458489,1768234014.371872,,,1.551095,0.379844,1768234014.371872
1768234014.474381,0.308003,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.474381,878,0,0.562838,1768234014.472877,,,7.682679,7.458489,1768234014.371872,,,1.551095,0.379844,1768234014.371872
1768234014.510423,0.344045,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.510423,876,0,0.586084,1768234014.509406,,,7.685820,8.125521,1768234014.496109,,,1.551095,0.379844,1768234014.371872
1768234014.537206,0.370828,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.537206,886,0,0.470378,1768234014.533699,,,7.685820,8.125521,1768234014.496109,,,0.679005,6.496205,1768234014.475386
1768234014.575968,0.409590,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.575968,904,0,0.265360,1768234014.574968,,,7.685820,8.125521,1768234014.496109,,,0.679005,6.496205,1768234014.475386
1768234014.599512,0.433134,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.599512,876,0,0.586084,1768234014.598512,,,7.580329,7.790584,1768234014.576969,,,-0.792055,0.508219,1768234014.575968
1768234014.640591,0.474213,14.573100,-15.058565,0.000000,0.000000,0.000000,0.209853,1768234014.640591,894,0,0.378749,1768234014.639592,,,7.580329,7.790584,1768234014.576969,,,-0.792055,0.508219,1768234014.575968
1768234014.675995,0.509616,14.535537,-14.987702,-1.061013,2.001589,2.265416,0.210054,1768234014.675995,870,0,0.656144,1768234014.673486,,,7.580329,7.790584,1768234014.576969,,,-0.792055,0.508219,1768234014.575968
1768234014.706323,0.539944,14.535537,-14.987702,-0.742709,1.401113,1.585791,0.210054,1768234014.706323,865,0,0.714897,1768234014.705323,,,7.613897,7.750808,1768234014.676997,,,0.124795,-0.046471,1768234014.675995
1768234014.738514,0.572136,14.532745,-14.879568,-0.545910,1.988506,2.062080,0.210054,1768234014.738514,919,0,0.097606,1768234014.738514,,,7.613897,7.750808,1768234014.676997,,,0.124795,-0.046471,1768234014.675995
1768234014.784356,0.617977,14.532745,-14.879568,-0.382137,1.391955,1.443456,0.210054,1768234014.784356,887,0,0.458879,1768234014.783353,,,7.601471,7.755473,1768234014.777290,,,0.000000,0.000000,1768234014.775787
1768234014.813941,0.647563,14.494250,-14.772654,-0.657842,2.058497,2.161057,0.184101,1768234014.813941,858,0,0.797724,1768234014.811937,,,7.601471,7.755473,1768234014.777290,,,0.000000,0.000000,1768234014.775787
1768234014.847514,0.681135,14.494250,-14.772654,-0.460489,1.440948,1.512740,0.184101,1768234014.847514,826,0,1.185177,1768234014.845008,,,7.601471,7.755473,1768234014.777290,,,0.000000,0.000000,1768234014.775787
1768234014.877597,0.711219,14.492389,-14.700561,-0.340907,1.727595,1.760909,0.184101,1768234014.877597,772,0,1.874371,1768234014.877597,,,7.601471,7.755473,1768234014.777290,,,0.000000,0.000000,1768234014.775787
