timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768234456.105457,0.020133,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.105457,917,0,0.119814,1768234456.102952,,,7.435135,7.423348,1768234456.086323,,,0.000000,0.000000,1768234456.085324
1768234456.135925,0.050601,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.135925,979,0,0.000000,1768234456.135925,,,7.435135,7.423348,1768234456.086323,,,0.000000,0.000000,1768234456.085324
1768234456.169052,0.083728,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.169052,997,0,0.000000,1768234456.167424,,,7.435135,7.423348,1768234456.086323,,,0.000000,0.000000,1768234456.085324
1768234456.200950,0.115626,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.200950,1019,0,0.000000,1768234456.200950,,,7.435135,7.423348,1768234456.086323,,,0.000000,0.000000,1768234456.085324
1768234456.230880,0.145555,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.230880,981,0,0.000000,1768234456.229375,,,7.683279,7.420741,1768234456.207487,,,2.461116,-0.025853,1768234456.186150
1768234456.262916,0.177592,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.262916,950,0,0.000000,1768234456.261916,,,7.683279,7.420741,1768234456.207487,,,2.461116,-0.025853,1768234456.186150
1768234456.291976,0.206652,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.291976,959,0,0.000000,1768234456.290977,,,7.787210,7.385569,1768234456.289976,,,2.461116,-0.025853,1768234456.186150
1768234456.331924,0.246600,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.331924,939,0,0.000000,1768234456.331924,,,7.787210,7.385569,1768234456.289976,,,2.613198,-0.307080,1768234456.288971
1768234456.357032,0.271708,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.357032,938,0,0.000000,1768234456.357032,,,7.787210,7.385569,1768234456.289976,,,2.613198,-0.307080,1768234456.288971
1768234456.415342,0.330018,14.464128,-14.990153,0.000000,0.000000,0.000000,0.129264,1768234456.415342,954,0,0.000000,1768234456.413834,,,7.484549,7.338164,1768234456.407680,,,-1.016045,-0.496684,1768234456.389812
1768234456.448441,0.363117,14.391781,-14.956555,-2.185771,1.015076,2.409974,0.067813,1768234456.448441,918,0,0.108704,1768234456.447436,,,7.484549,7.338164,1768234456.407680,,,-1.016045,-0.496684,1768234456.389812
1768234456.475920,0.390596,14.391781,-14.956555,-1.530040,0.710553,1.686982,0.067813,1768234456.475920,924,0,0.042295,1768234456.474921,,,7.484549,7.338164,1768234456.407680,,,-1.016045,-0.496684,1768234456.389812
1768234456.507337,0.422013,14.391781,-14.956555,-1.071028,0.497387,1.180887,0.067813,1768234456.507337,940,0,0.000000,1768234456.503833,,,7.059680,7.369869,1768234456.492764,,,-5.177554,0.300743,1768234456.491765
1768234456.538532,0.453208,14.319427,-14.922955,-1.445537,0.671303,1.593808,0.016158,1768234456.538532,944,0,0.000000,1768234456.536510,,,7.059680,7.369869,1768234456.492764,,,-5.177554,0.300743,1768234456.491765
1768234456.569957,0.484633,14.319427,-14.922955,-1.011876,0.469912,1.115666,0.016158,1768234456.569957,940,0,0.000000,1768234456.568952,,,7.059680,7.369869,1768234456.492764,,,-5.177554,0.300743,1768234456.491765
1768234456.601951,0.516627,14.247995,-14.925403,-1.378103,0.305984,1.411664,0.016158,1768234456.601951,951,0,0.000000,1768234456.601951,,,6.959916,7.467919,1768234456.594847,,,-5.177554,0.300743,1768234456.491765
1768234456.632194,0.546870,14.247995,-14.925403,-0.964672,0.214189,0.988165,0.016158,1768234456.632194,953,0,0.000000,1768234456.631194,,,6.959916,7.467919,1768234456.594847,,,-2.901510,0.959973,1768234456.593850
1768234456.662619,0.577295,14.247995,-14.925403,-0.675271,0.149932,0.691715,0.016158,1768234456.662619,935,0,0.000000,1768234456.660116,,,6.959916,7.467919,1768234456.594847,,,-2.901510,0.959973,1768234456.593850
1768234456.694400,0.609076,14.247995,-14.925403,-0.472689,0.104952,0.484201,0.016158,1768234456.694400,913,0,0.164376,1768234456.692399,,,6.959916,7.467919,1768234456.594847,,,-2.901510,0.959973,1768234456.593850
1768234456.730031,0.644707,14.247995,-14.925403,-0.330883,0.073467,0.338941,0.016158,1768234456.730031,910,0,0.197926,1768234456.730031,,,6.828060,7.763393,1768234456.717356,,,-2.901510,0.959973,1768234456.593850
1768234456.755558,0.670233,14.247995,-14.925403,-0.231618,0.051427,0.237258,0.016158,1768234456.755558,874,0,0.609384,1768234456.754164,,,6.828060,7.763393,1768234456.717356,,,-1.662787,3.112530,1768234456.693399
1768234456.807712,0.722388,14.247995,-14.925403,-0.162132,0.035999,0.166081,0.016158,1768234456.807712,873,0,0.621054,1768234456.807208,,,6.591869,8.012734,1768234456.796168,,,-2.625462,4.824232,1768234456.795168
1768234456.833422,0.748098,14.247995,-14.925403,-0.113493,0.025199,0.116257,0.016158,1768234456.833422,861,0,0.762145,1768234456.832349,,,6.591869,8.012734,1768234456.796168,,,-2.625462,4.824232,1768234456.795168
1768234456.871513,0.786189,14.247995,-14.925403,-0.079445,0.017639,0.081380,0.016158,1768234456.871513,851,0,0.881230,1768234456.867484,,,6.591869,8.012734,1768234456.796168,,,-2.625462,4.824232,1768234456.795168
1768234456.896267,0.810943,14.318496,-14.886905,0.798774,0.478899,0.931335,0.016158,1768234456.896267,856,0,0.821514,1768234456.892759,,,6.591869,8.012734,1768234456.796168,,,-2.625462,4.824232,1768234456.795168
1768234456.935472,0.850148,14.318496,-14.886905,0.559142,0.335229,0.651934,0.016158,1768234456.935472,873,0,0.621054,1768234456.934470,,,6.492355,7.965330,1768234456.918950,,,-1.003674,3.626597,1768234456.895263
1768234456.974017,0.888693,14.318496,-14.886905,0.391399,0.234661,0.456354,0.016158,1768234456.974017,865,0,0.714897,1768234456.970505,,,6.492355,7.965330,1768234456.918950,,,-1.003674,3.626597,1768234456.895263
1768234457.003062,0.917738,14.387127,-14.776314,0.982860,1.306539,1.634949,0.070995,1768234457.003062,858,0,0.797724,1768234456.999552,,,6.492355,7.965330,1768234456.918950,,,-1.003674,3.626597,1768234456.895263
1768234457.034107,0.948783,14.420975,-14.702997,1.015085,1.623060,1.914346,0.103311,1768234457.034107,875,0,0.597728,1768234457.033107,,,6.385088,7.953899,1768234457.010566,,,-1.063915,2.732898,1768234456.996044
