timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768732145.744440,0.011050,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.744440,512,0,6.060485,1768732145.743200,,,7.450216,7.524456,1768732145.734575,,,,,
1768732145.868234,0.134844,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.868234,467,0,6.998251,1768732145.865725,,,7.396927,8.101414,1768732145.841549,,,-0.590357,6.391581,1768732145.823658
1768732145.896838,0.163448,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.896838,458,0,7.196620,1768732145.894448,,,7.396927,8.101414,1768732145.841549,,,-0.590357,6.391581,1768732145.823658
1768732145.929915,0.196525,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.929915,462,0,7.107979,1768732145.926795,,,7.057067,8.460475,1768732145.924290,,,-3.417404,4.589810,1768732145.923108
1768732145.961122,0.227733,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.961122,460,0,7.152203,1768732145.959122,,,7.057067,8.460475,1768732145.924290,,,-3.417404,4.589810,1768732145.923108
1768732145.996529,0.263139,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732145.996529,468,0,6.976447,1768732145.996529,,,7.057067,8.460475,1768732145.924290,,,-3.417404,4.589810,1768732145.923108
1768732146.023301,0.289911,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732146.023301,470,0,6.932977,1768732146.022302,,,7.057067,8.460475,1768732145.924290,,,-3.417404,4.589810,1768732145.923108
1768732146.054360,0.320971,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732146.054360,468,0,6.976447,1768732146.053360,,,7.064295,8.603233,1768732146.044340,,,-3.417404,4.589810,1768732145.923108
1768732146.084431,0.351042,14.947116,-14.324372,0.000000,0.000000,0.000000,0.652182,1768732146.084431,448,0,7.421654,1768732146.083432,,,7.064295,8.603233,1768732146.044340,,,0.070725,5.087712,1768732146.025301
1768732146.124097,0.390708,14.945256,-14.252300,-0.046883,1.816975,1.817580,0.668089,1768732146.124097,456,0,7.241231,1768732146.123097,,,7.064295,8.603233,1768732146.044340,,,0.070725,5.087712,1768732146.025301
1768732146.164290,0.430901,14.945256,-14.252300,-0.032818,1.271883,1.272306,0.668089,1768732146.164290,447,0,7.444433,1768732146.164290,,,7.108208,8.774335,1768732146.152875,,,0.070725,5.087712,1768732146.025301
1768732146.193549,0.460160,14.945256,-14.252300,-0.022973,0.890318,0.890614,0.668089,1768732146.193549,463,0,7.085939,1768732146.193549,,,7.108208,8.774335,1768732146.152875,,,0.492044,5.758718,1768732146.129055
1768732146.225279,0.491889,14.942468,-14.144192,-0.042446,1.645374,1.645921,0.723176,1768732146.225279,459,0,7.174387,1768732146.222273,,,7.108208,8.774335,1768732146.152875,,,0.492044,5.758718,1768732146.129055
1768732146.275114,0.541724,14.942468,-14.144192,-0.029712,1.151762,1.152145,0.723176,1768732146.275114,458,0,7.196620,1768732146.275114,,,7.097887,8.713489,1768732146.259583,,,0.246881,4.132180,1768732146.234373
1768732146.308698,0.575308,14.939678,-14.036082,-0.045717,1.771953,1.772543,0.768068,1768732146.308698,465,0,7.042001,1768732146.308698,,,7.097887,8.713489,1768732146.259583,,,0.246881,4.132180,1768732146.234373
