timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768559857.188895,0.027732,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.188895,935,0,0.000000,1768559857.188895,,,7.411523,7.411547,1768559857.175602,,,,,
1768559857.216805,0.055641,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.216805,920,0,0.086519,1768559857.216805,,,7.411523,7.411547,1768559857.175602,,,0.000000,0.000000,1768559857.162165
1768559857.254488,0.093325,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.254488,920,0,0.086519,1768559857.253469,,,7.418642,7.405669,1768559857.252119,,,0.000000,0.000000,1768559857.162165
1768559857.294071,0.132908,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.294071,903,0,0.276642,1768559857.294071,,,7.418642,7.405669,1768559857.252119,,,0.093420,-0.077168,1768559857.238364
1768559857.323951,0.162788,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.323951,900,0,0.310564,1768559857.323951,,,7.418642,7.405669,1768559857.252119,,,0.093420,-0.077168,1768559857.238364
1768559857.355653,0.194490,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.355653,905,0,0.254090,1768559857.355146,,,7.420598,7.372064,1768559857.340449,,,0.093420,-0.077168,1768559857.238364
1768559857.386765,0.225602,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.386765,916,0,0.130936,1768559857.384712,,,7.420598,7.372064,1768559857.340449,,,0.029556,-0.332496,1768559857.339438
1768559857.419136,0.257972,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.419136,913,0,0.164376,1768559857.416631,,,7.420598,7.372064,1768559857.340449,,,0.029556,-0.332496,1768559857.339438
1768559857.448568,0.287405,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.448568,881,0,0.528067,1768559857.447052,,,7.385322,7.388046,1768559857.441456,,,0.029556,-0.332496,1768559857.339438
1768559857.481164,0.320000,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.481164,879,0,0.551234,1768559857.479167,,,7.385322,7.388046,1768559857.441456,,,-0.319992,0.158165,1768559857.440459
1768559857.524987,0.363824,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.524987,887,0,0.458879,1768559857.523990,,,7.385322,7.388046,1768559857.441456,,,-0.319992,0.158165,1768559857.440459
1768559857.557356,0.396193,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.557356,861,0,0.762145,1768559857.555707,,,7.385322,7.388046,1768559857.441456,,,-0.319992,0.158165,1768559857.440459
1768559857.588201,0.427037,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.588201,815,0,1.321840,1768559857.584530,,,7.406707,7.392093,1768559857.562891,,,0.171517,0.039830,1768559857.541014
1768559857.619193,0.458030,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.619193,788,0,1.665263,1768559857.618198,,,7.406707,7.392093,1768559857.562891,,,0.171517,0.039830,1768559857.541014
1768559857.651830,0.490667,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.651830,778,0,1.795452,1768559857.651305,,,7.406707,7.392093,1768559857.562891,,,0.171517,0.039830,1768559857.541014
1768559857.682446,0.521282,13.918090,-14.611881,0.000000,0.000000,0.000000,0.016158,1768559857.682446,779,0,1.782358,1768559857.679382,,,7.446569,7.412206,1768559857.654827,,,0.406462,0.358112,1768559857.642230
