timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1765808510.392767,3.871960,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.392767,790,0,1765808510.085632,-3.176309,-3.176414,,,1765808510.351748,0.000000,0.000000,,,1765808510.350242
1765808510.430266,3.909458,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.430266,790,0,1765808510.085632,-3.176309,-3.176414,,,1765808510.351748,0.000000,0.000000,,,1765808510.350242
1765808510.458857,3.938050,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.458857,790,0,1765808510.085632,-3.176311,-3.176414,,,1765808510.454394,0.000000,0.000000,,,1765808510.350242
1765808510.501756,3.980949,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.501756,790,0,1765808510.085632,-3.176311,-3.176414,,,1765808510.454394,0.000000,0.000000,,,1765808510.453386
1765808510.538013,4.017205,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.538013,790,0,1765808510.085632,-3.176311,-3.176414,,,1765808510.454394,0.000000,0.000000,,,1765808510.453386
1765808510.638786,4.117978,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.638786,790,0,1765808510.589379,-3.176309,-3.176412,,,1765808510.553744,0.000000,0.000000,,,1765808510.553744
1765808510.675851,4.155044,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.675851,790,0,1765808510.589379,-3.176311,-3.176412,,,1765808510.666430,0.000000,0.000000,,,1765808510.654998
1765808510.707350,4.186543,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.707350,790,0,1765808510.589379,-3.176311,-3.176412,,,1765808510.666430,0.000000,0.000000,,,1765808510.654998
1765808510.739118,4.218310,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.739118,790,0,1765808510.589379,-3.176311,-3.176412,,,1765808510.666430,0.000000,0.000000,,,1765808510.654998
1765808510.768502,4.247694,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.768502,790,0,1765808510.589379,-3.176311,-3.176414,,,1765808510.758485,0.000000,0.000000,,,1765808510.654998
1765808510.894664,4.373857,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.894664,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.882316,0.000000,0.000000,,,1765808510.757478
1765808510.921870,4.401062,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.921870,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.882316,0.000000,0.000000,,,1765808510.858177
1765808510.953794,4.432986,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.953794,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.882316,0.000000,0.000000,,,1765808510.858177
1765808510.984936,4.464128,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808510.984936,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.963130,0.000000,0.000000,,,1765808510.962131
1765808511.024091,4.503284,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.024091,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.963130,0.000000,0.000000,,,1765808510.962131
1765808511.048172,4.527365,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.048172,790,0,1765808510.589379,-3.176313,-3.176414,,,1765808510.963130,0.000000,0.000000,,,1765808510.962131
1765808511.077089,4.556281,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.077089,790,0,1765808510.589379,-3.176311,-3.176414,,,1765808511.063845,0.000000,0.000000,,,1765808510.962131
1765808511.110021,4.589214,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.110021,800,0,1765808511.088687,-3.176311,-3.176414,,,1765808511.063845,0.000000,0.000000,,,1765808511.062345
1765808511.151910,4.631102,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.151910,800,0,1765808511.088687,-3.176311,-3.176414,,,1765808511.063845,0.000000,0.000000,,,1765808511.062345
1765808511.187561,4.666753,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.187561,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.177358,0.000000,0.000000,,,1765808511.062345
1765808511.217347,4.696539,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.217347,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.177358,0.000000,0.000000,,,1765808511.162953
1765808511.281809,4.761002,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.281809,800,0,1765808511.088687,-3.176311,-3.176414,,,1765808511.265521,0.000000,0.000000,,,1765808511.162953
1765808511.311229,4.790422,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.311229,800,0,1765808511.088687,-3.176311,-3.176414,,,1765808511.265521,0.000000,0.000000,,,1765808511.264078
1765808511.341922,4.821115,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.341922,800,0,1765808511.088687,-3.176311,-3.176414,,,1765808511.265521,0.000000,0.000000,,,1765808511.264078
1765808511.373191,4.852384,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.373191,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.368173,0.000000,0.000000,,,1765808511.264078
1765808511.407953,4.887145,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.407953,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.368173,0.000000,0.000000,,,1765808511.367668
1765808511.434891,4.914083,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.434891,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.368173,0.000000,0.000000,,,1765808511.367668
1765808511.464624,4.943817,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.464624,800,0,1765808511.088687,-3.176313,-3.176414,,,1765808511.368173,0.000000,0.000000,,,1765808511.367668
1765808511.497521,4.976714,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.497521,800,0,1765808511.088687,-3.176311,-3.176412,,,1765808511.487120,0.000000,0.000000,,,1765808511.466128
1765808511.550323,5.029516,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.550323,800,0,1765808511.088687,-3.176311,-3.176412,,,1765808511.487120,0.000000,0.000000,,,1765808511.466128
1765808511.589354,5.068546,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.589354,797,0,1765808511.589354,-3.176311,-3.176414,,,1765808511.568906,0.000000,0.000000,,,1765808511.567903
1765808511.620097,5.099290,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.620097,797,0,1765808511.589354,-3.176311,-3.176414,,,1765808511.568906,0.000000,0.000000,,,1765808511.567903
1765808511.650816,5.130008,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.650816,797,0,1765808511.589354,-3.176311,-3.176414,,,1765808511.568906,0.000000,0.000000,,,1765808511.567903
1765808511.683370,5.162562,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.683370,797,0,1765808511.589354,-3.176311,-3.176412,,,1765808511.670542,0.000000,0.000000,,,1765808511.669537
1765808511.806099,5.285291,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.806099,797,0,1765808511.589354,-3.176311,-3.176412,,,1765808511.772501,0.000000,0.000000,,,1765808511.771466
1765808511.837445,5.316637,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.837445,797,0,1765808511.589354,-3.176311,-3.176412,,,1765808511.772501,0.000000,0.000000,,,1765808511.771466
1765808511.867078,5.346270,8.132113,-8.493333,0.000000,0.000000,0.000000,1.279663,1765808511.867078,797,0,1765808511.589354,-3.176311,-3.176412,,,1765808511.772501,0.000000,0.000000,,,1765808511.771466
