timestamp,dx,dy
1769437559.676743,0.0,0.0
1769437559.7072484,8.142252815765416e-05,8.080482149108725e-05
1769437559.737472,0.0,0.0
1769437559.7676637,0.00010194601526951341,0.00010096452088227681
1769437559.800071,8.048253975198594e-05,7.85634984874356e-05
1769437559.8285236,8.00650384081697e-05,8.138346370444027e-05
1769437559.8585691,0.0,0.0
1769437559.8901482,0.00010162617505875271,0.00010012463513800474
1769437559.9213033,6.108215567028619e-05,5.876514528850574e-05
1769437559.9521527,8.154460457397705e-05,8.140299593105416e-05
1769437559.9829724,0.0,0.0
1769437560.0148559,0.00014182593895320506,0.00013956752525125238
1769437560.044885,0.0,0.0
1769437560.0758395,0.0001009449886556768,9.964365405770725e-05
1769437560.107158,5.990289748863953e-05,6.006403835816243e-05
1769437560.138225,6.006403835814855e-05,5.990289748862565e-05
1769437560.1682668,6.162173343042532e-05,5.880176821340677e-05
1769437560.1987877,0.0,0.0
1769437560.23011,0.00010058608399170221,9.950692847142395e-05
1769437560.2610378,6.126282876643685e-05,5.980279482724338e-05
1769437560.2921464,6.002253237662181e-05,6.036190481399639e-05
1769437560.3219507,5.946342238986879e-05,6.01031028113902e-05
1769437560.3524427,0.00010096452088229069,0.00010052504578353383
1769437560.3836153,5.9922429715239534e-05,5.93828519551004e-05
1769437560.414882,6.060361611831544e-05,5.910451772588032e-05
1769437560.445215,6.0742783232897724e-05,5.960258950447883e-05
1769437560.4767842,5.956352505126494e-05,6.048153970199255e-05
1769437560.5063255,8.046544905369879e-05,7.906401179433309e-05
1769437560.5367093,0.0,0.0
1769437560.5664914,0.00010042494312215156,0.00010000500025002246
1769437560.5965488,0.0,0.0
1769437560.6272013,7.902250581279247e-05,8.064368062152272e-05
1769437560.657228,8.128336104304412e-05,7.918608821065598e-05
1769437560.6882727,7.916411445572924e-05,8.132242549627189e-05
1769437560.7192998,6.148500784414201e-05,5.9583057277878826e-05
1769437560.7501807,6.056211013676094e-05,5.966362771263334e-05
1769437560.7805798,0.0,0.0
1769437560.8108351,0.00010044447534876544,0.00010012463513800474
1769437560.8420808,8.012363508801135e-05,8.130533479798474e-05
1769437560.871914,0.0,0.0
1769437560.903106,0.00010020520557277313,9.954355139632498e-05
